  QueueTimes | ServiceTimes | SojournTimes
       0.073 |      550.272 |      550.344
       0.111 |      820.805 |      820.916
       0.108 |     1097.973 |     1098.081
       0.117 |     1378.560 |     1378.676
       0.241 |     1227.897 |     1228.138
       0.110 |     1510.346 |     1510.457
       0.090 |     1101.007 |     1101.097
       0.100 |      731.922 |      732.022
       0.112 |     2201.131 |     2201.243
       0.099 |      635.754 |      635.853
       0.074 |     1326.159 |     1326.233
       0.082 |     2096.842 |     2096.924
       0.068 |      962.236 |      962.304
       0.117 |     1143.137 |     1143.254
       0.115 |      567.637 |      567.752
       0.089 |      897.497 |      897.586
       0.104 |     1204.382 |     1204.486
       0.075 |     1204.679 |     1204.754
       0.071 |     1641.459 |     1641.530
       0.129 |      372.061 |      372.190
       0.110 |     1507.148 |     1507.258
       0.081 |     2432.892 |     2432.974
       0.109 |      905.833 |      905.942
       0.110 |      952.790 |      952.900
       0.136 |     1670.860 |     1670.995
       0.108 |     1910.724 |     1910.832
       0.100 |     1012.534 |     1012.634
       0.079 |      751.202 |      751.280
       0.094 |     1153.380 |     1153.474
       0.080 |      277.605 |      277.685
       0.092 |      432.241 |      432.333
       0.095 |      316.384 |      316.480
       0.135 |      845.441 |      845.576
       0.118 |     1136.468 |     1136.586
       0.087 |      371.032 |      371.119
       0.118 |     1249.076 |     1249.194
       0.144 |      751.644 |      751.788
       0.097 |      486.284 |      486.381
       0.087 |      545.880 |      545.967
       0.120 |     1941.129 |     1941.249
       0.060 |      617.433 |      617.493
       0.085 |     1400.607 |     1400.692
       0.092 |     2915.159 |     2915.251
       0.113 |     1488.317 |     1488.430
       0.115 |     2270.214 |     2270.328
       0.085 |      644.424 |      644.510
       0.110 |     2517.060 |     2517.170
       0.090 |      878.748 |      878.837
       0.086 |      200.180 |      200.266
       0.103 |      326.100 |      326.203
       0.109 |     1410.462 |     1410.571
       0.109 |      674.168 |      674.276
       0.126 |      727.210 |      727.336
       0.074 |      740.549 |      740.623
       0.084 |      701.685 |      701.769
       0.079 |     1611.993 |     1612.073
       0.110 |      475.311 |      475.421
       0.116 |      627.423 |      627.539
       0.092 |     1339.558 |     1339.650
       0.063 |     2580.049 |     2580.113
       0.106 |      741.815 |      741.922
       0.083 |      785.613 |      785.696
       0.107 |      731.522 |      731.629
       0.143 |     2841.481 |     2841.624
       0.090 |      917.841 |      917.931
       0.097 |      210.332 |      210.430
       0.113 |     1269.319 |     1269.431
       0.171 |     1094.871 |     1095.042
       0.108 |     1238.279 |     1238.387
       0.097 |      449.869 |      449.966
       0.112 |      784.262 |      784.374
       0.111 |      467.469 |      467.580
       0.112 |      532.551 |      532.662
       0.101 |     1205.542 |     1205.642
       0.111 |      713.441 |      713.552
       0.086 |      917.942 |      918.028
       0.121 |      948.530 |      948.650
       0.109 |     1768.849 |     1768.959
       0.103 |      976.352 |      976.455
       0.119 |     1327.146 |     1327.266
       0.105 |      645.405 |      645.510
       0.103 |     1693.224 |     1693.327
       0.099 |     1346.990 |     1347.089
       0.106 |     1075.168 |     1075.274
       0.108 |     1828.993 |     1829.101
       0.068 |      297.721 |      297.789
       0.112 |      175.185 |      175.297
       0.120 |      776.527 |      776.648
       0.113 |      754.555 |      754.667
       0.121 |      561.337 |      561.458
       0.097 |     1267.346 |     1267.444
       0.096 |     1282.612 |     1282.708
       0.112 |     1221.554 |     1221.665
       0.128 |      520.762 |      520.890
       0.161 |     1285.723 |     1285.885
       0.114 |      341.050 |      341.164
       0.155 |      168.621 |      168.776
       0.093 |     1084.822 |     1084.915
     351.141 |      558.068 |      909.209
       0.153 |     1523.718 |     1523.871
       0.129 |      320.116 |      320.245
     136.270 |      757.646 |      893.916
     412.187 |      882.656 |     1294.843
       0.204 |     1056.127 |     1056.331
       0.076 |      471.284 |      471.359
       0.119 |      528.813 |      528.932
       0.097 |      494.535 |      494.632
       0.090 |      192.080 |      192.171
       0.124 |      704.606 |      704.730
       0.130 |      610.286 |      610.416
       0.173 |     1195.996 |     1196.169
       0.089 |      990.922 |      991.011
       0.126 |      803.539 |      803.665
       0.109 |      836.299 |      836.408
       0.162 |      915.223 |      915.385
     150.705 |      288.220 |      438.925
       0.081 |      948.730 |      948.811
       0.200 |     2233.482 |     2233.682
       0.070 |      516.690 |      516.760
       0.096 |      281.501 |      281.597
     287.880 |     1047.826 |     1335.706
       0.104 |      217.235 |      217.340
       0.100 |      669.283 |      669.383
     342.530 |     1237.568 |     1580.098
       0.099 |      444.468 |      444.567
       0.121 |      227.342 |      227.463
       0.208 |      746.504 |      746.712
       0.110 |     2105.816 |     2105.926
       0.109 |     1036.736 |     1036.845
       0.098 |     1089.056 |     1089.155
       0.060 |      204.739 |      204.800
       0.127 |      523.188 |      523.316
       0.094 |      287.816 |      287.911
       0.113 |      700.245 |      700.358
       0.097 |     1326.518 |     1326.614
       0.107 |      578.035 |      578.142
       0.072 |      599.141 |      599.213
       0.113 |      314.968 |      315.081
       0.138 |      312.967 |      313.105
       0.073 |      790.833 |      790.906
       0.130 |     1507.030 |     1507.160
       0.109 |      775.022 |      775.131
       0.103 |      927.706 |      927.809
       0.069 |     1180.942 |     1181.011
       0.139 |      877.615 |      877.754
       0.096 |      550.842 |      550.938
       0.113 |     1217.264 |     1217.377
       0.121 |     1052.366 |     1052.486
       0.126 |     1664.564 |     1664.690
       0.075 |     1299.556 |     1299.631
       0.097 |     1624.095 |     1624.192
       0.096 |      675.864 |      675.961
       0.124 |     1124.254 |     1124.378
       0.081 |     1420.981 |     1421.062
       0.118 |     1460.899 |     1461.018
       0.109 |     1333.115 |     1333.223
       0.094 |      939.303 |      939.397
       0.108 |     1147.511 |     1147.619
       0.103 |     1050.445 |     1050.549
       0.066 |     2065.775 |     2065.842
       0.127 |     1066.991 |     1067.119
       0.090 |      290.519 |      290.608
       0.110 |      456.077 |      456.187
       0.091 |     1396.599 |     1396.690
       0.081 |     2220.602 |     2220.683
       0.084 |     1765.901 |     1765.985
       0.111 |      938.030 |      938.141
       0.104 |      608.529 |      608.633
       0.126 |     1886.754 |     1886.879
       0.106 |      769.367 |      769.473
       0.076 |      635.648 |      635.724
       0.126 |     2537.524 |     2537.650
       0.089 |     1064.093 |     1064.182
       0.105 |      172.161 |      172.266
       0.115 |     1820.790 |     1820.906
       0.105 |      529.906 |      530.011
       0.087 |     2867.201 |     2867.288
       0.076 |      429.756 |      429.831
       0.100 |     2337.942 |     2338.042
       0.086 |      404.882 |      404.968
       0.096 |      493.911 |      494.007
       0.110 |      343.311 |      343.421
       0.068 |      223.873 |      223.941
       0.100 |     2584.444 |     2584.543
       0.103 |      863.654 |      863.757
       0.120 |      344.159 |      344.279
       0.082 |     2332.849 |     2332.931
       0.073 |     1065.938 |     1066.011
       0.106 |      782.928 |      783.035
       0.107 |      535.234 |      535.341
       0.110 |      547.205 |      547.315
       0.069 |     1472.204 |     1472.273
       0.125 |      559.197 |      559.322
       0.075 |      755.640 |      755.715
       0.109 |     1181.613 |     1181.721
       0.096 |     1508.618 |     1508.714
       0.099 |     2575.008 |     2575.107
       0.097 |      884.143 |      884.240
       0.113 |     2010.055 |     2010.168
       0.071 |     2203.542 |     2203.612
       0.080 |      317.867 |      317.946
       0.092 |      616.913 |      617.005
      78.715 |      167.119 |      245.833
       0.104 |     1171.076 |     1171.180
       0.123 |      640.543 |      640.666
       0.106 |     1660.785 |     1660.891
       0.079 |      462.651 |      462.730
       0.086 |     1287.243 |     1287.329
       0.109 |     2699.754 |     2699.863
       0.070 |      525.339 |      525.409
       0.111 |      524.825 |      524.937
       0.090 |      465.465 |      465.555
       0.091 |      456.306 |      456.396
       0.077 |      769.943 |      770.020
       0.077 |     1147.952 |     1148.029
       0.121 |      416.611 |      416.732
     234.189 |     1620.446 |     1854.634
       0.122 |     1011.173 |     1011.295
       0.083 |     1127.402 |     1127.485
       0.104 |      515.061 |      515.166
       0.073 |      938.695 |      938.768
       0.110 |     1266.014 |     1266.124
       0.113 |     1375.391 |     1375.504
       0.098 |      498.015 |      498.113
       0.113 |      386.375 |      386.488
       0.081 |     1692.774 |     1692.855
       0.108 |      394.107 |      394.215
       0.109 |      911.793 |      911.902
       0.093 |     1008.340 |     1008.434
       0.113 |      243.927 |      244.040
       0.124 |      390.362 |      390.486
       0.117 |     1032.370 |     1032.487
       0.126 |     2015.142 |     2015.268
       0.092 |      605.691 |      605.783
       0.119 |     1179.397 |     1179.516
       0.108 |     3008.094 |     3008.202
       0.105 |     1555.164 |     1555.269
       0.119 |      790.649 |      790.768
       0.080 |     1123.062 |     1123.142
       0.117 |      836.255 |      836.371
       0.083 |      462.468 |      462.551
       0.112 |      331.126 |      331.239
       0.112 |     1058.987 |     1059.099
       0.080 |      770.217 |      770.297
       0.104 |      305.992 |      306.096
       0.083 |      794.715 |      794.799
       0.120 |     1404.794 |     1404.914
       0.117 |      900.501 |      900.617
       0.087 |     1025.337 |     1025.423
       0.119 |      503.904 |      504.023
       0.115 |     1312.094 |     1312.209
       0.108 |     1039.234 |     1039.342
       0.085 |      660.496 |      660.581
       0.108 |     1052.038 |     1052.145
       0.089 |     1184.776 |     1184.865
       0.126 |     1138.430 |     1138.556
       0.105 |      732.102 |      732.206
       0.104 |      391.503 |      391.607
       0.093 |      699.696 |      699.789
       0.094 |      430.280 |      430.374
       0.105 |     1999.922 |     2000.027
       0.134 |      924.094 |      924.228
       0.121 |      627.923 |      628.044
       0.096 |      776.008 |      776.104
       0.109 |      734.784 |      734.893
       0.096 |      484.922 |      485.019
       0.091 |      923.774 |      923.865
       0.114 |      649.553 |      649.667
       0.099 |      771.756 |      771.855
       0.096 |      750.972 |      751.068
      71.443 |      146.233 |      217.676
       0.116 |      862.998 |      863.114
      40.079 |      444.285 |      484.363
       0.110 |     1061.518 |     1061.628
       0.073 |      767.119 |      767.193
       0.154 |     2006.748 |     2006.902
       0.111 |      538.955 |      539.066
       0.078 |     2201.638 |     2201.715
       0.094 |      360.534 |      360.628
       0.099 |     1501.926 |     1502.025
       0.071 |      571.113 |      571.184
       0.089 |      268.498 |      268.587
       0.094 |      596.141 |      596.235
       0.101 |      989.392 |      989.493
       0.110 |      229.931 |      230.041
       0.112 |      127.972 |      128.084
       0.099 |     1205.510 |     1205.609
       0.109 |      445.842 |      445.951
       0.104 |     1106.093 |     1106.197
       0.070 |      302.620 |      302.690
       0.095 |     1766.727 |     1766.823
       0.099 |     1402.714 |     1402.813
       0.070 |      953.580 |      953.649
       0.111 |      357.550 |      357.661
       0.082 |     1198.490 |     1198.571
       0.081 |      896.880 |      896.961
       0.080 |     1233.047 |     1233.127
       0.099 |      233.967 |      234.065
       0.091 |      220.911 |      221.001
       0.105 |     1451.278 |     1451.383
       0.073 |     1375.852 |     1375.925
       0.112 |     1665.112 |     1665.224
       0.106 |      505.217 |      505.323
       0.063 |      843.582 |      843.646
       0.126 |      700.888 |      701.015
       0.084 |     1829.713 |     1829.797
       0.117 |      512.204 |      512.321
       0.076 |     1728.942 |     1729.018
       0.086 |     1119.812 |     1119.898
       0.074 |     2025.186 |     2025.260
       0.123 |      381.464 |      381.587
       0.128 |      684.951 |      685.079
       0.074 |      406.629 |      406.703
       0.104 |      800.870 |      800.975
       0.093 |     1276.866 |     1276.959
       0.088 |      566.355 |      566.444
       0.110 |     1993.585 |     1993.695
     100.292 |     1820.045 |     1920.337
       0.086 |      764.271 |      764.357
       0.123 |     1535.256 |     1535.378
       0.117 |     1760.545 |     1760.662
       0.093 |     1654.099 |     1654.193
       0.112 |      443.546 |      443.659
       0.085 |      524.228 |      524.312
       0.126 |      784.181 |      784.307
       0.085 |      740.356 |      740.441
       0.072 |      771.735 |      771.807
       0.078 |     1297.388 |     1297.465
       0.074 |     1024.917 |     1024.991
       0.081 |     2076.010 |     2076.091
       0.077 |      943.336 |      943.412
       0.107 |     2021.791 |     2021.897
       0.099 |     1057.061 |     1057.160
       0.083 |     2294.123 |     2294.206
       0.081 |     1485.696 |     1485.777
       0.104 |     1513.934 |     1514.038
       0.112 |     2330.422 |     2330.534
       0.106 |      229.152 |      229.258
       0.078 |      563.737 |      563.815
       0.110 |     1146.224 |     1146.334
       0.096 |     2398.347 |     2398.443
       0.079 |      655.754 |      655.833
       0.069 |      746.032 |      746.102
       0.104 |      982.685 |      982.789
       0.077 |     1815.693 |     1815.769
       0.106 |      791.189 |      791.295
       0.076 |      435.681 |      435.757
       0.107 |      759.591 |      759.698
       0.076 |      561.532 |      561.608
       0.090 |     1695.865 |     1695.955
       0.074 |      579.798 |      579.872
       0.092 |     1981.729 |     1981.821
       0.112 |     1225.770 |     1225.882
       0.119 |      569.395 |      569.514
       0.101 |      391.093 |      391.194
       0.113 |      549.972 |      550.085
       0.113 |     1669.749 |     1669.862
       0.075 |     2742.207 |     2742.282
       0.099 |      460.787 |      460.886
       0.094 |     1516.684 |     1516.778
       0.122 |     1014.092 |     1014.213
       0.091 |      561.992 |      562.083
       0.092 |      421.141 |      421.232
       0.096 |     1135.385 |     1135.481
       0.107 |     2176.998 |     2177.104
       0.093 |     1507.548 |     1507.641
       0.120 |     2607.360 |     2607.480
       0.116 |      687.270 |      687.385
       0.104 |      525.939 |      526.043
       0.091 |      387.418 |      387.509
       0.101 |      749.847 |      749.948
       0.124 |     1135.181 |     1135.305
       0.089 |      314.593 |      314.682
       0.079 |     2372.824 |     2372.903
       0.133 |      549.874 |      550.007
       0.106 |      422.177 |      422.283
       0.127 |     1578.096 |     1578.223
       0.075 |     1168.006 |     1168.080
       0.107 |     1015.117 |     1015.225
       0.086 |      802.043 |      802.129
       0.097 |     1357.548 |     1357.645
       0.098 |     2227.295 |     2227.393
       0.075 |     1994.173 |     1994.248
     120.054 |     1476.132 |     1596.186
     437.263 |     1164.659 |     1601.922
       0.101 |      610.954 |      611.056
       0.109 |      742.123 |      742.232
       0.080 |     1505.648 |     1505.728
       0.122 |      401.563 |      401.685
       0.072 |      222.139 |      222.211
       0.080 |     1046.690 |     1046.770
       0.095 |     1241.070 |     1241.165
       0.110 |     1583.802 |     1583.912
     217.351 |     1936.167 |     2153.518
       0.124 |     1138.091 |     1138.215
       0.091 |      480.591 |      480.682
       0.108 |     1944.760 |     1944.867
       0.116 |     1306.735 |     1306.851
       0.092 |      905.214 |      905.306
       0.107 |     2241.023 |     2241.130
       0.091 |      800.002 |      800.093
       0.074 |     2143.881 |     2143.955
       0.100 |     2192.800 |     2192.900
       0.077 |     2007.630 |     2007.706
       0.080 |     2395.827 |     2395.908
       0.080 |     1757.765 |     1757.845
       0.090 |     1503.237 |     1503.328
       0.084 |     1153.339 |     1153.423
       0.116 |     1450.483 |     1450.599
       0.100 |      745.078 |      745.178
       0.103 |      149.400 |      149.502
       0.088 |     1717.859 |     1717.947
       0.081 |     2485.831 |     2485.912
       0.095 |      824.039 |      824.134
       0.089 |     1882.408 |     1882.497
       0.103 |     1300.246 |     1300.349
       0.092 |     3677.230 |     3677.321
       0.102 |      577.581 |      577.684
       0.108 |     1106.520 |     1106.628
       0.082 |      190.558 |      190.640
       0.093 |      944.963 |      945.056
       0.078 |     1295.106 |     1295.185
       0.117 |     2513.916 |     2514.033
       0.114 |     1588.560 |     1588.674
       0.097 |      574.598 |      574.696
       0.082 |     4901.842 |     4901.924
       0.110 |      353.569 |      353.679
       0.109 |     1161.483 |     1161.592
       0.117 |      222.071 |      222.188
       0.118 |      574.275 |      574.393
       0.107 |      967.071 |      967.179
       0.116 |      632.390 |      632.506
       0.121 |      573.218 |      573.339
      67.056 |      208.421 |      275.477
       0.122 |      490.538 |      490.660
       0.102 |      875.286 |      875.388
       0.092 |      629.186 |      629.278
     193.353 |      326.726 |      520.079
       0.121 |      514.273 |      514.394
       0.078 |     1327.612 |     1327.690
       0.073 |     1038.596 |     1038.668
       0.073 |      932.631 |      932.704
       0.097 |      405.466 |      405.563
       0.108 |      434.185 |      434.294
       0.121 |     1616.738 |     1616.859
       0.071 |      952.944 |      953.015
       0.107 |     1000.180 |     1000.287
       0.086 |      385.031 |      385.117
       0.114 |      800.198 |      800.312
       0.089 |      335.559 |      335.648
       0.085 |     1432.358 |     1432.443
       0.071 |     1784.509 |     1784.580
       0.124 |      184.726 |      184.850
       0.114 |      413.157 |      413.271
       0.114 |      333.485 |      333.599
       0.106 |      581.769 |      581.875
       0.109 |     1838.616 |     1838.725
       0.111 |      521.746 |      521.857
       0.126 |      418.691 |      418.818
       0.111 |      309.502 |      309.613
       0.109 |      556.015 |      556.125
       0.087 |      778.590 |      778.677
       0.095 |      270.569 |      270.664
       0.110 |      665.920 |      666.030
     117.478 |      204.027 |      321.505
       0.098 |      253.482 |      253.580
       0.094 |      520.730 |      520.824
     246.723 |      772.003 |     1018.726
       0.116 |     1678.316 |     1678.431
       0.095 |      433.305 |      433.400
       0.069 |      578.092 |      578.162
       0.122 |     1606.952 |     1607.073
       0.111 |      673.507 |      673.618
       0.110 |     1375.996 |     1376.105
       0.114 |      515.514 |      515.628
       0.071 |      986.424 |      986.494
       0.110 |      386.900 |      387.010
       0.112 |      183.794 |      183.906
       0.105 |      925.169 |      925.273
       0.108 |      348.678 |      348.787
       0.120 |      797.662 |      797.782
       0.090 |      461.445 |      461.535
       0.075 |      299.503 |      299.578
       0.074 |      423.896 |      423.970
       0.100 |     1273.359 |     1273.459
       0.125 |      913.147 |      913.272
       0.105 |      955.631 |      955.736
       0.107 |     1400.628 |     1400.735
       0.068 |      820.445 |      820.513
       0.131 |      926.219 |      926.350
       0.097 |     1264.049 |     1264.147
     430.560 |      597.546 |     1028.106
       0.101 |      497.264 |      497.366
     143.020 |     1032.281 |     1175.301
       0.107 |     1140.549 |     1140.656
       0.073 |      506.215 |      506.288
       0.120 |      302.392 |      302.512
       0.127 |      295.033 |      295.160
       0.092 |      682.228 |      682.320
       0.123 |     1091.603 |     1091.726
       0.123 |     2540.218 |     2540.341
       0.068 |      667.991 |      668.060
       0.107 |      559.099 |      559.206
       0.117 |      764.626 |      764.744
       0.113 |     1135.592 |     1135.705
       0.107 |     1174.565 |     1174.673
       0.111 |     2051.952 |     2052.063
       0.133 |     1047.409 |     1047.542
       0.081 |      601.385 |      601.466
       0.089 |      844.906 |      844.996
       0.101 |      246.670 |      246.771
     164.632 |      297.574 |      462.206
       0.111 |      539.149 |      539.261
      83.794 |      530.033 |      613.827
       0.104 |     1625.967 |     1626.071
       0.086 |      236.799 |      236.885
       0.110 |      827.938 |      828.047
       0.076 |      707.456 |      707.532
       0.125 |     1193.228 |     1193.352
       0.123 |      791.948 |      792.071
       0.088 |      817.915 |      818.003
       0.104 |      395.739 |      395.844
       0.084 |      468.560 |      468.644
       0.113 |      915.155 |      915.268
       0.092 |      352.620 |      352.712
       0.131 |      435.778 |      435.909
       0.070 |     1229.431 |     1229.500
       0.076 |      996.061 |      996.137
       0.116 |      657.902 |      658.017
       0.083 |      498.725 |      498.808
       0.088 |      800.758 |      800.846
       0.114 |      559.837 |      559.952
       0.091 |      598.958 |      599.049
       0.122 |      656.671 |      656.793
       0.073 |     1083.608 |     1083.681
       0.108 |      399.881 |      399.990
       0.135 |      989.114 |      989.249
       0.122 |      993.384 |      993.506
       0.159 |      883.629 |      883.788
       0.110 |      504.512 |      504.622
       0.124 |      526.609 |      526.732
       0.106 |      388.366 |      388.472
       0.125 |      488.132 |      488.257
       0.124 |     2010.830 |     2010.954
       0.103 |      408.858 |      408.962
       0.109 |      892.878 |      892.988
       0.109 |      650.000 |      650.109
       0.115 |      679.662 |      679.777
       0.118 |      332.432 |      332.550
       0.096 |      874.495 |      874.592
       0.105 |      340.475 |      340.580
       0.110 |      823.596 |      823.705
       0.112 |     1301.678 |     1301.790
       0.082 |      416.248 |      416.330
       0.112 |      675.638 |      675.749
       0.067 |      743.136 |      743.202
       0.133 |      466.404 |      466.537
       0.121 |      325.518 |      325.639
       0.104 |      237.052 |      237.156
       0.106 |      604.238 |      604.345
       0.109 |      817.315 |      817.424
       0.096 |      377.308 |      377.404
       0.116 |      813.587 |      813.703
       0.113 |      741.925 |      742.038
       0.100 |      581.723 |      581.823
       0.100 |     1014.459 |     1014.559
       0.113 |     1081.774 |     1081.887
       0.098 |      296.332 |      296.430
       0.108 |      463.168 |      463.276
       0.107 |      777.188 |      777.295
